Scenario, Bench, Heap size, Direct Mem, # Threads, Final Size, Throughput, gc

zc-ascend-only-10k, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 6.443041017364413E-4
zc-ascend-only-10k, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 0.002851984838516191
zc-ascend-only-10k, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 0.005646765410110936
zc-ascend-only-10k, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 0.008321089292955735

zc-ascend-only-10k-entries, OakMap, 12g, 20g, 01, 1.0E7, 8.11019809358496E-4
zc-ascend-only-10k-entries, OakMap, 12g, 20g, 04, 1.0E7, 0.0023726537092479206
zc-ascend-only-10k-entries, OakMap, 12g, 20g, 08, 1.0E7, 0.0034080419383862195
zc-ascend-only-10k-entries, OakMap, 12g, 20g, 12, 1.0E7, 0.0038275861195084444

zc-ascend-only-10k-entries, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 6.37632805239761E-4
zc-ascend-only-10k-entries, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 0.002953247703679564
zc-ascend-only-10k-entries, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 0.005925423099644246
zc-ascend-only-10k-entries, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 0.00815926542415478

zc-ascend-only-10k, YoniList2, 12g, 20g, 01, 1.0E7, 8.481698547116662E-4
zc-ascend-only-10k, YoniList2, 12g, 20g, 04, 1.0E7, 0.0035444121942163494
zc-ascend-only-10k, YoniList2, 12g, 20g, 08, 1.0E7, 0.006831418204336636
zc-ascend-only-10k, YoniList2, 12g, 20g, 12, 1.0E7, 0.009400174887758827

zc-descend-only-10k, OakMap, 12g, 20g, 01, 1.0E7, 8.886782800870612E-4
zc-descend-only-10k, OakMap, 12g, 20g, 04, 1.0E7, 0.0025806693574103763
zc-descend-only-10k, OakMap, 12g, 20g, 08, 1.0E7, 0.004021642331010171
zc-descend-only-10k, OakMap, 12g, 20g, 12, 1.0E7, 0.0064140019050758475

zc-descend-only-10k, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 4.251552092343648E-5
zc-descend-only-10k, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 1.7141207970366835E-4
zc-descend-only-10k, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 3.3546420332082393E-4
zc-descend-only-10k, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 4.986068535063015E-4

zc-descend-only-10k, YoniList2, 12g, 20g, 01, 1.0E7, 2.9327728056493174E-5
zc-descend-only-10k, YoniList2, 12g, 20g, 04, 1.0E7, 1.40327281376044E-4
zc-descend-only-10k, YoniList2, 12g, 20g, 08, 1.0E7, 2.671433269870669E-4
zc-descend-only-10k, YoniList2, 12g, 20g, 12, 1.0E7, 4.0246265005270467E-4
